"Exp","class","profile","Wood","noWood","hp","hpue","h","htop","v","Froude","Res","Res_rel","Yres","Yres_rel","Zres","angle_res","Resy","Resy_rel","Yy","Yy_rel","Zy","angle_y","Resz","Resz_rel","Yz","Yz_rel","Zz","Zz_rel","angle_z","Reszm","Reszm_rel","Yzm","Yzm_rel","Zzm","Zzm_rel","angle_zm","Ftop","Ftop_rel","t_res","t_y","t_z","t_zm","t_ftop","t_start","t_trans","year","Yy.h","Ftop.hpue","t_spanZ","t_spanZ_ext","integral_y","integral_z_pos","integral_z_neg","integral_z_cl"
1,"1_0",1,0,0,20,6,108.196621610646,7.1966216106462,1.14794520547945,1.11424271841769,35.378100974503,0.47056712986343,23.0668579587064,0.366699156944181,-26.8240580911054,-49.3067184750286,29.9992762134719,0.429861589113984,29.9992760259552,0.4429840512436,0.0033542111211491,0.0064062259326047,34.2070182024499,0.609668921714804,16.7129117252539,0.538649730446913,-29.846250618237,0.678806889030261,-60.7526184565471,9.25957557167547,0.200698112771361,8.896193529215,0.196883475831713,2.56855610379107,0.31608690119627,16.1047666366938,-22.5552524595267,0.77408099992584,4.73,4.37,4.78666666666667,4.3075,6.5,4.28791666666667,4.41375,2023,0.277266291492075,3.75920874325444,0.125833333333333,0.479166666666667,13.1509505949285,-0.0123279891843582,-58.2439774366425,-59.129315226588
2,"1_0",1,0,0,20,6,113.60730243737,12.6073024373697,0.790995297201449,0.749266428049641,85.3204486881769,1.13485454425015,26.8260900492138,0.426460535837411,-80.9934556431771,-71.6744552255079,68.5528446126147,0.982298189921967,62.4403799736002,0.922025333476843,-28.2964918891676,-24.3789006946619,85.3093729621355,1.5204620618545,26.7850852149781,0.863271413636713,-80.9953598993121,1.84211440768188,-71.7010004858513,19.1941951745951,0.41602757252613,19.0289459122589,0.421133488195349,2.51323414523474,0.30927897263969,7.52375278166715,-52.9538295120402,1.81733959183726,4.57333333333333,4.13333333333333,4.57375,3.89416666666667,6.5,3.87666666666667,3.9375,2023,0.54961590174208,8.82563825200669,0.0608333333333335,0.679583333333334,33.5318637878602,-0.000796835189315015,-172.083959378955,-174.488509137992
3,"1_0",1,0,0,20,6,108.977634203244,7.9776342032436,1.31563807531381,1.27242807319487,45.7971535505373,0.609151834286489,34.1226628840503,0.542455835756725,-30.5454276616477,-41.8338046590222,45.7928789021044,0.656169154045222,34.1319615076813,0.504009315840877,-30.5286252848201,-41.81038095095,41.2500078117918,0.735195556493761,16.7606086923831,0.540186982537371,-37.6914465195181,0.857233757171871,-66.0262720092774,28.3225345626068,0.613881186196561,27.7574980687306,0.614306858570104,5.62914425241279,0.692723339975247,11.4639555681636,-27.9465842401085,0.959107857999515,4.47625,4.47666666666667,4.6575,4.14208333333333,6.5,4.05541666666667,4.15333333333333,2023,0.313201527609097,4.65776404001808,0.0979166666666664,0.515416666666667,16.3784167676837,0.0887985660409914,-79.1201959977168,-80.4922185994324
4,"1_0",1,0,0,20,6,119.099741394325,18.0997413943248,1.2602646882621,1.16592832959581,90.3111172510537,1.20123585124639,29.175340121454,0.463807105642615,-85.4686926770911,-71.1522996919877,49.4431720058987,0.708474442451621,49.3194480213717,0.728275204731703,-3.49561223137029,-4.05417061304243,89.7166369884555,1.59901237251696,21.5965568734525,0.696047447010009,-87.0784915104185,1.98046584409224,-76.0709818141321,34.2336995425053,0.742003652130615,34.1276256965498,0.755285454048942,2.6928328360156,0.331380414591471,4.51156349177078,-67.0012132349305,2.29943629450414,4.64208333333333,4.095,4.71708333333333,4.02125,6.5,3.9675,4.02916666666667,2023,0.414102058022787,11.1668688724884,0.0616666666666669,0.695833333333333,29.574414500992,0.0413718551596075,-197.569826891412,-197.782964241075
5,"1_0",1,0,0,20,6,108.34374716731,7.34374716731,1.08627186834392,1.05366390514073,73.095067379435,0.972243707730498,25.7882844234746,0.409962300632958,-68.3948335892274,-69.3410397101071,55.4848744836329,0.795046392039738,46.5703720099135,0.687680997468878,-30.1624227694454,-32.9300839619461,73.095067379435,1.3027674802915,25.7882844234746,0.831144966343793,-68.3948335892274,1.55553489141037,-69.3410397101071,26.4403645844833,0.573085799885356,26.3323961242336,0.582767636393148,2.38700517738163,0.293745216833849,5.1796481693075,-50.3023338788983,1.72634205613313,4.24333333333333,3.81666666666667,4.24333333333333,3.58375,6.5,3.535,3.595,2023,0.429839037577288,8.38372231314971,0.06,0.659583333333333,23.9136773129533,0.06106831589368,-170.076292881772,-171.130045565042
6,"1_10",1,10,1,20,6,119.981213826438,18.9812138264384,0.985673691688373,0.9085357807624,69.1103027016083,0.91924201385842,53.580619361621,0.851783454149963,-43.6503283874591,-39.1685458413779,54.0494241070673,0.774477729796892,54.0336136004761,0.797886890182313,1.30722897002706,1.38587983203272,61.2562842754694,1.09176580552719,26.140223825854,0.842487817149308,-55.3987460288713,1.25995894523039,-64.7394430780406,27.3214720078247,0.592183499952126,25.9771156195924,0.574904850987313,8.46476796850773,1.04167562178688,18.0484482837928,-31.8446675155313,1.09288743794649,4.65791666666667,4.32916666666667,4.90833333333333,4.275,6.5,4.2,4.3775,2023,0.450350616377658,5.30744458592188,0.1775,0.633333333333333,31.469948225049,0.434189769545904,-96.5982659096906,-97.2485737850728
7,"1_10",1,10,1,20,6,120.408272657407,19.4082726574069,1.13778434622836,1.04688092725047,87.257780691993,1.1606231619972,45.6886145657688,0.726322435123481,-74.3402366848033,-58.4256167509724,58.9585255503429,0.844820565154385,58.9331333987808,0.870235607115463,1.73018001142842,1.68162696253935,86.8676237526092,1.54823463979645,44.3500084975526,1.42938109859263,-74.6931108114523,1.69877948257038,-59.2997250819692,26.4958733581551,0.574288933444981,25.1543873024291,0.556696882577414,8.32394764824871,1.02434625195516,18.3101204957911,-52.5333627786228,1.8029094581013,4.555,4.04916666666667,4.55833333333333,4.01958333333333,6.5,3.945,4.06041666666667,2023,0.489444222544916,8.7555604631038,0.115416666666667,0.53875,39.5432597222999,0.13952174799322,-161.835204482773,-162.424284408932
8,"1_10",1,10,1,20,6,117.51941464611,16.5194146461101,1.15460526315789,1.07533608430219,104.500987930313,1.38997652795723,68.3495791157736,1.08656901100757,-79.0492979925055,-49.1518317468131,84.1843214221417,1.20628264253767,79.0947382190538,1.16795177116988,-28.8274584270938,-20.0251523994048,99.1769218154241,1.76762226465774,36.7641226465224,1.18489136298993,-92.1111345430845,2.09492553969355,-68.2416795865655,42.0183773597811,0.910733863830549,41.1618706456052,0.910961765594282,8.44064220918239,1.03870670220872,11.5884106136908,-65.6117331934273,2.2517502798238,4.39791666666667,4.14541666666667,4.62791666666667,3.92583333333333,6.5,3.89,3.93916666666667,2023,0.673035501897574,10.9352888655712,0.0491666666666663,0.702083333333334,47.0613376217016,0.143043009528526,-204.059797281794,-204.82518377178
9,"1_10",1,10,1,20,6,124.190677836768,23.1906778367684,1.19666048237477,1.08415642280268,89.6762443682174,1.19279135303775,53.705616652927,0.853770564896659,-71.8159839027294,-53.2100291353284,71.2969188047663,1.02161820832812,71.1860682066281,1.05116846349866,3.9742073844642,3.19541710077491,85.8371111764084,1.52986789740962,36.9574740506133,1.19112299296604,-77.4735746361902,1.76201683935175,-64.4973042346015,69.7929639626135,1.51273846663812,69.6590410794461,1.54163846433719,4.32155233437055,0.531810881495858,3.55000262846314,-49.2948494884599,1.69176587367808,4.53625,4.17125,4.72416666666667,4.17541666666667,6.5,4.04083333333333,4.1875,2023,0.57319977188781,8.21580824807665,0.146666666666667,0.54875,45.2453384301102,0.325198673069164,-153.460097682148,-152.892767572927
10,"1_10",1,10,1,20,6,126.549485019851,25.5494850198506,1.14397346781155,1.02671819204789,97.5160805582676,1.29706968095621,47.4549293156649,0.754401947766446,-85.1904669026517,-60.8802224356774,81.3124909326724,1.16513199579923,72.1599095515416,1.0655486833368,-37.4789092049018,-27.4467719439606,96.5344664804286,1.72052599671554,43.6773226898569,1.40770073343859,-86.0882959600613,1.95794537511719,-63.0988157263144,49.7411665911821,1.0781226617377,49.587720031407,1.09743595913148,3.90405890561695,0.480434077240051,4.50163143090028,-59.9392975685987,2.05707612805532,4.56583333333333,4.22208333333333,4.6125,4.03,6.5,3.94333333333333,4.0575,2023,0.570211009078564,9.98988292809979,0.114166666666667,0.5825,48.2946928149239,0.08092323389466,-184.179920639343,-183.618411374328
